Code,Oblast,Opstina,Oblast,Opstina_Cir,MunicipaltiesOSM,Region
70459,Raška oblast,Vrnjačka Banja,Рашки управни округ,Врњачка Бања,Vrnjacka Banja Municipality,Sumadija and Western Serbia
70653,Raška oblast,Kraljevo-grad,Рашки управни округ,Краљево – град,Kraljevo City,Sumadija and Western Serbia
70874,Raška oblast,Novi Pazar-grad,Рашки управни округ,Нови Пазар – град,Novi Pazar City,Sumadija and Western Serbia
71021,Raška oblast,Raška,Рашки управни округ,Рашка,Raska Municipality,Sumadija and Western Serbia
71188,Raška oblast,Tutin,Рашки управни округ,Тутин,Tutin Municipality,Sumadija and Western Serbia
80012,Severnobanatska oblast,Ada,Севернобанатски управни округ,Ада,Ada Municipality,Vojvodina
80195,Severnobanatska oblast,Kanjiža,Севернобанатски управни округ,Кањижа,Kanjiza Municipality,Vojvodina
80209,Severnobanatska oblast,Kikinda,Севернобанатски управни округ,Кикинда,Kikinda City,Vojvodina
80276,Severnobanatska oblast,Novi Kneževac,Севернобанатски управни округ,Нови Кнежевац,Novi Knezevac Municipality,Vojvodina
80365,Severnobanatska oblast,Senta,Севернобанатски управни округ,Сента,Senta Municipality,Vojvodina
80489,Severnobanatska oblast,Čoka,Севернобанатски управни округ,Чока,Coka Municipality,Vojvodina
80071,Severnobačka oblast,Bačka Topola,Севернобачки управни округ,Бачка Топола,Backa Topola Municipality,Vojvodina
80241,Severnobačka oblast,Mali Iđoš,Севернобачки управни округ,Мали Иђош,Mali Idjos Municipality,Vojvodina
80438,Severnobačka oblast,Subotica-grad,Севернобачки управни округ,Суботица – град,Subotica City,Vojvodina
80144,Srednjobanatska oblast,Žitište,Средњобанатски управни округ,Житиште,Zitiste Municipality,Vojvodina
80152,Srednjobanatska oblast,Zrenjanin-grad,Средњобанатски управни округ,Зрењанин – град,Zrenjanin City,Vojvodina
80250,Srednjobanatska oblast,Nova Crnja,Средњобанатски управни округ,Нова Црња,Nova Crnja Municipality,Vojvodina
80268,Srednjobanatska oblast,Novi Bečej,Средњобанатски управни округ,Нови Бечеј,Novi Becej Municipality,Vojvodina
80373,Srednjobanatska oblast,Sečanj,Средњобанатски управни округ,Сечањ,Secanj Municipality,Vojvodina
80179,Sremska oblast,Inđija,Сремски управни округ,Инђија,Indjija Municipality,Vojvodina
80187,Sremska oblast,Irig,Сремски управни округ,Ириг,Irig Municipality,Vojvodina
80322,Sremska oblast,Pećinci,Сремски управни округ,Пећинци,Pecinci Municipality,Vojvodina
80357,Sremska oblast,Ruma,Сремски управни округ,Рума,Ruma Municipality,Vojvodina
80403,Sremska oblast,Sremska Mitrovica-grad,Сремски управни округ,"Сремска Митровица – 
град",Sremska Mitrovica City,Vojvodina
80420,Sremska oblast,Stara Pazova,Сремски управни округ,Стара Пазова,Stara Pazova Municipality,Vojvodina
80497,Sremska oblast,Šid,Сремски управни округ,Шид,Sid Municipality,Vojvodina
70262,Toplička oblast,Blace,Топлички управни округ,Блаце,Blace Municipality,Southern and Eastern Serbia
70548,Toplička oblast,Žitorađa,Топлички управни округ,Житорађа,Zitoradja Municipality,Southern and Eastern Serbia
70688,Toplička oblast,Kuršumlija,Топлички управни округ,Куршумлија,Kursumlija Municipality,Southern and Eastern Serbia
70998,Toplička oblast,Prokuplje,Топлички управни округ,Прокупље,Prokuplje Municipality,Southern and Eastern Serbia
70033,Šumadijska oblast,Aranđelovac,Шумадијски управни округ,Аранђеловац,Arandjelovac Municipality,Sumadija and Western Serbia
70076,Šumadijska oblast,Batočina,Шумадијски управни округ,Баточина,Batocina Municipality,Sumadija and Western Serbia
70599,Šumadijska oblast,Knić,Шумадијски управни округ,Кнић,Knic Municipality,Sumadija and Western Serbia
70645,Šumadijska oblast,Kragujevac-grad,Шумадијски управни округ,Крагујевац – град,Kragujevac City,Sumadija and Western Serbia
71013,Šumadijska oblast,Rača,Шумадијски управни округ,Рача,Raca Municipality,Sumadija and Western Serbia
71153,Šumadijska oblast,Topola,Шумадијски управни округ,Топола,Topola Municipality,Sumadija and Western Serbia
71277,Šumadijska oblast,Lapovo,Шумадијски управни округ,Лапово,Lapovo Municipality,Sumadija and Western Serbia
90018,Kosovsko-pomoravska oblast,Vitina,,,,Kosovo
90026,Kosovsko-mitrovačka oblast,Vučitrn,,,,Kosovo
90034,Kosovska oblast,Glogovac,,,,Kosovo
90042,Kosovsko-pomoravska oblast,Gnjilane,,,,Kosovo
90069,Pećka oblast,Dečani,,,,Kosovo
90085,Pećka oblast,Đakovica,,,,Kosovo
90093,Kosovsko-mitrovačka oblast,Zubin Potok,,,,Kosovo
90107,Pećka oblast,Istok,,,,Kosovo
90115,Kosovska oblast,Kačanik,,,,Kosovo
90123,Pećka oblast,Klina,,,,Kosovo
90131,Kosovska oblast,Kosovo Polje,,,,Kosovo
90140,Kosovsko-pomoravska oblast,Kosovska Kamenica,,,,Kosovo
90158,Kosovsko-mitrovačka oblast,Leposavić,,,,Kosovo
90166,Kosovska oblast,Lipljan,,,,Kosovo
90182,Kosovsko-pomoravska oblast,Novo Brdo,,,,Kosovo
90204,Kosovska oblast,Obilić,,,,Kosovo
90212,Prizrenska oblast,Orahovac,,,,Kosovo
90239,Pećka oblast,Peć,,,,Kosovo
90247,Kosovska oblast,Podujevo,,,,Kosovo
90255,Prizrenska oblast,Prizren,,,,Kosovo
90263,Kosovska oblast,Priština-grad,,,,Kosovo
90271,Kosovsko-mitrovačka oblast,Srbica,,,,Kosovo
90280,Prizrenska oblast,Suva Reka,,,,Kosovo
90298,Kosovsko-mitrovačka oblast,Kosovska Mitrovica,,,,Kosovo
90301,Kosovska oblast,Uroševac,,,,Kosovo
90310,Kosovska oblast,Štimlje,,,,Kosovo
90328,Kosovska oblast,Štrpce,,,,Kosovo
90336,Prizrenska oblast,Gora,,,,Kosovo
90352,Kosovsko-mitrovačka oblast,Zvečan,,,,Kosovo
